ForbidID,ForbidNo,PlantCode,BU,Customer,ForbidDate
519FDAD6-D77C-4D71-A2CC-B99C0971A718,PSG-Forbid-GER-0875,CP60,BU1,BU1-HP,2015/6/29
CD674992-F6E5-4B73-9E3A-B9A31AC29973,PSG-Forbid-GER-0545,CP62,BU2,BD2D TSB,2014/9/3
C33F92F8-64E6-4AC0-AF32-B9B93E252D29,PSG-Forbid-GER-0528,CP60,BU1,BU1-HP,2014/8/26
03847636-AE60-4B1E-815D-B9F7DE055A67,PSG-Forbid-GER-0341,CP60,BU1,BU1-HP,2014/6/8
99B0D2DC-F1BF-430A-90D6-BA190D513221,PSG-Forbid-GER-1089,CP60,BU1,BU1-HP,2016/4/21
45DBD5A7-75E6-4F58-BEA3-BA6D50535184,PSG-Forbid-GER-1718,CP60,BU1,BU1-HP,2019/5/9
8FBD09CA-FDFD-4084-A027-BACC106A6660,PSG-Forbid-GER-1597,CP60,BU1,BU1-HP,2018/8/7
C06F6774-B831-456E-922F-BACD05CB9164,PSG-Forbid-F-SNOWKV-0001,CP60,BU1,BU1-HP,2014/3/12
0A0A59C6-4A7A-4E10-A307-BAD9F6191CAB,PSG-Forbid-GER-1238,CP60,BU1,BU1-HP,2017/3/22
BC752850-B995-4F6F-8365-BAE00CF11612,PSG-Forbid-GER-1372,CP60,BU1,BU1-HP,2017/9/8
D0BB4837-9097-4424-A2C2-BB08E1C0A73C,PSG-Forbid-F-ARGAMA-0003,CP62,BU6B,BU2-FJ and Onkyo,2017/11/13
68AD0CE4-1C52-449A-B51C-BB0B79AEA935,PSG-Forbid-F-SNOWKV-0003,CP60,BU1,BU1-HP,2014/4/22
F8925D3F-941E-4E94-A459-BB2EC4749B98,PSG-Forbid-F-CYCLONE-0010,CP81,BU1,BU1-HP,2014/6/6
976AB131-BBAE-424E-8C57-BB51974B80F0,PSG-Forbid-F-ARGAMA-0001,CP62,BU6B,BU2-FJ and Onkyo,2017/10/11
5AF6EE97-D28B-4B12-8770-BB8947C49D33,PSG-Forbid-GER-0734,CP11,AIOL,AIO/Lenovo,2015/2/11
3BA12488-5669-4DF9-B6BB-BBA3D74BA555,PSG-Forbid-GER-0374,CP81,BU1,BU1-HP,2014/7/1
06BB84DB-6115-41E4-99A0-BBD54D02E534,PSG-Forbid-GER-0922,CP82,BESTA,BESTA,2015/9/11
84C88AF2-0AC6-4C11-B8E3-BC118C450BDC,PSG-Forbid-F-Z380-0005,CP85,BU2-ASUS,BD2C-ASUS,2015/6/24
7A3ADF53-81B8-4E11-8795-BC2D55B299FD,PSG-Forbid-GER-1438,CP60,BU1,BU1-HP,2018/1/22
705CD2AB-2FEF-4D98-BA3F-BC5FAC00A8B1,PSG-Forbid-GER-0061,CP62,BU2,BD2D TSB,2014/3/8
7119284D-DEB8-4860-8498-BC9FFBB39F23,PSG-Forbid-GER-1049,CP11,ASUS,AIO-ASUS,2016/2/20
AAA656C3-199B-4FD0-AF1A-BCFEC1621E11,PSG-Forbid-GER-0347,CP60,BU1,BU1-HP,2014/6/9
E31A1D78-E266-403B-9835-BD4A1C46F7C0,PSG-Forbid-GER-2518,CP60,BU1,BU1-HP,2023/10/25
4DEEB22D-35F7-463C-BD15-BD6B89465729,PSG-Forbid-GER-1713,CP60,BU1,BU1-HP,2019/5/5
11D95BE0-C1EF-486C-AF45-BDB5421E47D6,PSG-Forbid-GER-0920,CP60,BU1,BU1-HP,2015/9/10
E77EB8EA-D54A-4968-9104-BDC1D80E8AFF,PSG-Forbid-F-C365-0003,CP11,AIOL,AIO/Lenovo,2014/6/10
D01C3C7D-BDAB-495D-A07B-BDEAF0C7E08F,PSG-Forbid-GER-1410,CP60,BU1,BU1-HP,2017/11/8
C1C649AA-6179-4460-B04F-BDEFEFF9B269,PSG-Forbid-GER-1934,CP65,BU2-TINY,BD3B-TINY,2020/5/9
8271626C-0580-40C8-ACBF-BDF541BAA455,PSG-Forbid-GER-1241,CP60,BU1,BU1-HP,2017/3/28
8271626C-0580-40C8-ACBF-BDF541BAA455,PSG-Forbid-GER-1241,CP60,BU1,BU1-HP,2017/3/28
8271626C-0580-40C8-ACBF-BDF541BAA455,PSG-Forbid-GER-1241,CP60,BU1,BU1-HP,2017/3/28
8271626C-0580-40C8-ACBF-BDF541BAA455,PSG-Forbid-GER-1241,CP60,BU1,BU1-HP,2017/3/28
8271626C-0580-40C8-ACBF-BDF541BAA455,PSG-Forbid-GER-1241,CP60,BU1,BU1-HP,2017/3/28
1AB539F7-6FD4-4049-BB7B-BDF9DD2A891E,PSG-Forbid-F-CABO-0001,CP11,AIOL,AIO/Lenovo,2014/7/1
8152A043-7675-4BD6-803E-BDFFA2639980,PSG-Forbid-F-GRIZZLY-0003,CP60,BU1,BU1-HP,2021/10/27
518571CA-D721-4036-B44E-BE0BD93288C8,PSG-Forbid-GER-1210,CP83,BU5A,BD2E-DELL,2017/1/21
996B0773-771F-4E2F-98D4-BE3B9AC25D63,PSG-Forbid-F-ALISHAN-0009,CP60,BU1,BU1-HP,2024/1/6
08CB2A1B-049F-4F14-8C2E-BE3FEABF19DA,PSG-Forbid-GER-2318,CP60,BU1,BU1-HP,2022/6/20
90C18131-91D3-4DA1-B079-BE596385DFA3,PSG-Forbid-GER-0873,CP60,BU1,BU1-HP,2015/6/29
CF66C3F9-9CF9-437D-8A19-BE61AF04519D,PSG-Forbid-F-LINDEN-0005,CP60,BU1,BU1-HP,2020/10/22
211A4ED6-FA75-4F5D-8AB1-BE75BA306B54,PSG-Forbid-GER-2035,CP60,BU1,BU1-HP,2020/10/19
070EC8D4-90D5-48A2-A55D-BEB0FBF9FF55,PSG-Forbid-GER-1118,CP60,BU1,BU1-HP,2016/6/22
BBE4EA1E-6688-4690-83C4-BEBE32EEA1BF,PSG-Forbid-GER-1331,CP60,BU1,BU1-HP,2017/7/20
E7EC96F1-AFEA-4208-805C-BEC018353D52,PSG-Forbid-F-CHROMIA-0005,CP60,BU1,BU1-HP,2018/4/2
47512882-0115-4C75-8852-BEDD862DD404,PSG-Forbid-GER-1133,CP60,BU1,BU1-HP,2016/7/26
D66B3B45-F779-4692-8224-BEF06035B51F,PSG-Forbid-GER-0282,CP60,BU1,BU1-HP,2014/5/30
0A984FEB-232D-4B4C-B74F-BEFE0958F10D,PSG-Forbid-F-CIRCUS-0007,CP60,BU1,BU1-HP,2018/5/24
2D7FD2E6-143B-4B60-8694-BF07435E64E7,PSG-Forbid-GER-1098,CP60,BU1,BU1-HP,2016/5/24
C7236C1B-0E0C-4BE8-87C0-BF0A0BCE0BF8,PSG-Forbid-F-BATAII-0002,CP11,AIOL,AIO/Lenovo,2014/9/23
F6CEFD01-518C-4B3A-B456-BF38D9828B0D,PSG-Forbid-F-SNICKER-0001,CP60,BU1,BU1-HP,2015/9/10
